order_item_id,order_id,product_id,seller_id,quantity,unit_price,discount_percent,item_total,cost_price,profit
OITM000001,ORDR000001,PROD003064,SELR000964,1,9715.6,17.5,8015.37,7011.03,1004.34
OITM000002,ORDR000002,PROD001146,SELR000013,2,740.3,18.0,1214.09,540.52,133.05
OITM000003,ORDR000003,PROD002775,SELR000813,3,2948.89,6.9,8236.25,2514.47,692.84
OITM000004,ORDR000004,PROD002656,SELR000869,1,5482.9,25.8,4068.31,3605.42,462.89
OITM000005,ORDR000004,PROD003068,SELR000158,1,414.91,20.5,329.85,327.95,1.9
OITM000006,ORDR000004,PROD002286,SELR001171,2,18415.35,6.6,34399.87,13485.99,7427.89
OITM000007,ORDR000005,PROD002084,SELR001023,1,19990.31,15.1,16971.77,15509.04,1462.73
OITM000008,ORDR000006,PROD002286,SELR001171,1,18415.35,14.2,15800.37,13485.99,2314.38
OITM000009,ORDR000007,PROD001950,SELR000855,4,4381.12,24.2,13283.56,2748.29,2290.4
OITM000010,ORDR000008,PROD003372,SELR000196,1,1482.39,7.0,1378.62,1003.49,375.13
OITM000011,ORDR000008,PROD002871,SELR001041,1,4586.79,29.2,3247.45,3252.67,-5.22
OITM000012,ORDR000009,PROD003074,SELR000766,1,1654.3,5.5,1563.31,1368.31,195.0
OITM000013,ORDR000010,PROD000375,SELR000324,1,170.37,8.2,156.4,145.4,11.0
OITM000014,ORDR000010,PROD002511,SELR000425,1,5720.74,16.9,4753.93,4103.38,650.55
OITM000015,ORDR000010,PROD000339,SELR000970,1,2403.53,17.1,1992.53,1901.91,90.62
OITM000016,ORDR000011,PROD002154,SELR000188,1,2458.49,17.7,2023.34,1796.16,227.18
OITM000017,ORDR000011,PROD000018,SELR000849,2,445.46,15.9,749.26,304.36,140.54
OITM000018,ORDR000011,PROD001968,SELR000803,1,304.14,9.8,274.33,232.03,42.3
OITM000019,ORDR000012,PROD000355,SELR000086,1,620.1,12.1,545.07,454.36,90.71
OITM000020,ORDR000012,PROD000177,SELR000197,1,1883.43,13.3,1632.93,1339.75,293.18
OITM000021,ORDR000012,PROD001833,SELR000421,1,4090.29,14.9,3480.84,2888.2,592.64
OITM000022,ORDR000012,PROD003355,SELR000441,3,194.91,0.9,579.47,158.75,103.22
OITM000023,ORDR000012,PROD003274,SELR001101,2,2746.43,5.6,5185.26,2285.39,614.48
OITM000024,ORDR000012,PROD003390,SELR000200,4,434.69,14.1,1493.59,319.2,216.79
OITM000025,ORDR000012,PROD003252,SELR001107,3,223.69,16.1,563.03,152.17,106.52
OITM000026,ORDR000012,PROD000375,SELR000324,1,170.37,4.8,162.19,145.4,16.79
OITM000027,ORDR000012,PROD000821,SELR000783,1,43.96,2.0,43.08,37.89,5.19
OITM000028,ORDR000013,PROD001338,SELR000053,1,57785.58,11.2,51313.6,47043.36,4270.24
OITM000029,ORDR000013,PROD000291,SELR000339,1,137.82,10.6,123.21,117.65,5.56
OITM000030,ORDR000014,PROD002882,SELR000635,2,2140.65,8.4,3921.67,1441.11,1039.45
OITM000031,ORDR000015,PROD001499,SELR000679,1,562.73,10.4,504.21,394.31,109.9
OITM000032,ORDR000015,PROD000943,SELR000680,2,835.72,20.0,1337.15,559.03,219.09
OITM000033,ORDR000016,PROD002459,SELR000251,1,160.64,5.1,152.45,138.43,14.02
OITM000034,ORDR000017,PROD002786,SELR000973,1,2470.06,1.6,2430.54,1708.19,722.35
OITM000035,ORDR000018,PROD000176,SELR001170,1,1285.97,14.5,1099.5,967.1,132.4
OITM000036,ORDR000018,PROD003124,SELR000827,1,355.34,10.2,319.1,305.44,13.66
OITM000037,ORDR000019,PROD000669,SELR000733,1,331.04,0.1,330.71,279.85,50.86
OITM000038,ORDR000019,PROD002247,SELR000069,1,1150.26,20.4,915.61,850.53,65.08
OITM000039,ORDR000019,PROD001919,SELR000766,1,6978.16,4.3,6678.1,5775.17,902.93
OITM000040,ORDR000020,PROD001271,SELR001127,1,843.82,7.5,780.53,742.65,37.88
OITM000041,ORDR000020,PROD001513,SELR000164,1,6813.44,8.5,6234.3,6060.6,173.7
OITM000042,ORDR000021,PROD003152,SELR000047,1,1181.75,11.7,1043.49,873.46,170.03
OITM000043,ORDR000021,PROD000669,SELR000733,1,331.04,3.4,319.78,279.85,39.93
OITM000044,ORDR000021,PROD001088,SELR001183,2,392.8,11.6,694.47,250.43,193.61
OITM000045,ORDR000022,PROD002897,SELR000900,1,1184.73,15.0,1007.02,729.97,277.05
