order_id,customer_id,order_date,order_status,cancellation_reason,shipped_date,delivery_date,expected_delivery_date,delivery_city,delivery_state,order_total,delivery_days,delivery_delay,customer_segment
ORDR000001,CUST018345,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-07,Kollam,Kerala,8015.37,4.0,-1.0,New
ORDR000002,CUST000265,2024-01-01,Delivered,,2024-01-03,2024-01-05,2024-01-04,Bengaluru,Karnataka,1214.09,2.0,1.0,Repeat
ORDR000003,CUST038247,2024-01-01,Cancelled,Customer Changed Mind,,,,Varanasi,Uttar Pradesh,8236.25,,,Repeat
ORDR000004,CUST031405,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Mumbai,Maharashtra,38798.03,4.0,1.0,Repeat
ORDR000005,CUST034854,2024-01-01,Cancelled,Address Issue,,,,Bengaluru,Karnataka,16971.77,,,Repeat
ORDR000006,CUST001452,2024-01-01,Delivered,,2024-01-03,2024-01-04,2024-01-07,Jaipur,Rajasthan,15800.37,1.0,-3.0,Repeat
ORDR000007,CUST025124,2024-01-01,Cancelled,Address Issue,,,,Raipur,Chhattisgarh,13283.56,,,Repeat
ORDR000008,CUST026035,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-05,Indore,Madhya Pradesh,4626.07,4.0,1.0,New
ORDR000009,CUST009238,2024-01-01,Cancelled,Payment Issue,,,,Faridabad,Haryana,1563.31,,,New
ORDR000010,CUST013527,2024-01-01,Delivered,,2024-01-02,2024-01-05,2024-01-05,Mumbai,Maharashtra,6902.86,3.0,0.0,Repeat
ORDR000011,CUST024042,2024-01-01,Delivered,,2024-01-03,2024-01-10,2024-01-07,Nashik,Maharashtra,3046.93,7.0,3.0,Repeat
ORDR000012,CUST034117,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-06,Salem,Tamil Nadu,13685.46,3.0,0.0,Repeat
ORDR000013,CUST024413,2024-01-01,Pending,,,,2024-01-07,Rourkela,Odisha,51436.81,,,Repeat
ORDR000014,CUST023470,2024-01-01,Pending,,,,2024-01-06,Delhi,Delhi,3921.67,,,Repeat
ORDR000015,CUST011992,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-06,Chennai,Tamil Nadu,1841.36,7.0,3.0,Repeat
ORDR000016,CUST022280,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-06,Hyderabad,Telangana,152.45,5.0,1.0,Repeat
ORDR000017,CUST014254,2024-01-01,Cancelled,Customer Changed Mind,,,,Lucknow,Uttar Pradesh,2430.54,,,New
ORDR000018,CUST016464,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-06,Jodhpur,Rajasthan,1418.6,3.0,-2.0,Repeat
ORDR000019,CUST022298,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-04,Bengaluru,Karnataka,7924.42,3.0,2.0,Repeat
ORDR000020,CUST015321,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-05,Prayagraj,Uttar Pradesh,7014.83,5.0,1.0,Repeat
ORDR000021,CUST007320,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-06,Mumbai,Maharashtra,2057.74,7.0,3.0,Repeat
ORDR000022,CUST024717,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-06,Vijayawada,Andhra Pradesh,2674.13,4.0,0.0,Repeat
ORDR000023,CUST006931,2024-01-01,Delivered,,2024-01-02,2024-01-10,2024-01-06,Mysuru,Karnataka,11903.36,8.0,4.0,Repeat
ORDR000024,CUST000955,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-06,Jaipur,Rajasthan,8668.34,5.0,1.0,VIP
ORDR000025,CUST038484,2024-01-01,Delivered,,2024-01-03,2024-01-08,2024-01-06,Bengaluru,Karnataka,2521.77,5.0,2.0,Repeat
ORDR000026,CUST018526,2024-01-01,Delivered,,2024-01-03,2024-01-05,2024-01-06,Kochi,Kerala,379.12,2.0,-1.0,New
ORDR000027,CUST039215,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-05,Hyderabad,Telangana,706.04,3.0,-1.0,Repeat
ORDR000028,CUST005110,2024-01-01,Delivered,,2024-01-03,2024-01-04,2024-01-06,Chennai,Tamil Nadu,2266.18,1.0,-2.0,Repeat
ORDR000029,CUST012143,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Pune,Maharashtra,94756.79,4.0,1.0,Repeat
ORDR000030,CUST003907,2024-01-01,Delivered,,2024-01-02,2024-01-12,2024-01-09,Rohtak,Haryana,27771.91,10.0,3.0,New
ORDR000031,CUST034691,2024-01-01,Delivered,,2024-01-01,2024-01-07,2024-01-06,Jaipur,Rajasthan,10053.47,6.0,1.0,New
ORDR000032,CUST011135,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-05,Chennai,Tamil Nadu,8798.72,4.0,1.0,New
ORDR000033,CUST036389,2024-01-01,Delivered,,2024-01-01,2024-01-08,2024-01-07,Nagpur,Maharashtra,3756.84,7.0,1.0,Repeat
ORDR000034,CUST010352,2024-01-01,Returned,,2024-01-02,2024-01-08,2024-01-06,Kanpur,Uttar Pradesh,4564.02,6.0,2.0,Repeat
ORDR000035,CUST003917,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-04,Mumbai,Maharashtra,817.73,3.0,0.0,Repeat
ORDR000036,CUST007206,2024-01-01,Returned,,2024-01-01,2024-01-02,2024-01-04,Kolkata,West Bengal,9383.75,1.0,-2.0,Repeat
ORDR000037,CUST034011,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-05,Mumbai,Maharashtra,1451.9,7.0,4.0,Repeat
ORDR000038,CUST013995,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-04,Delhi,Delhi,331.04,4.0,3.0,VIP
ORDR000039,CUST029955,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-05,Pune,Maharashtra,4272.55,4.0,0.0,Repeat
ORDR000040,CUST037846,2024-01-01,Delivered,,2024-01-03,2024-01-08,2024-01-07,Jodhpur,Rajasthan,14227.31,5.0,1.0,Repeat
ORDR000041,CUST027961,2024-01-01,Delivered,,2024-01-01,2024-01-07,2024-01-07,Surat,Gujarat,2525.67,6.0,0.0,Repeat
ORDR000042,CUST037055,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-06,Lucknow,Uttar Pradesh,4152.99,4.0,0.0,Repeat
ORDR000043,CUST028920,2024-01-01,Delivered,,2024-01-01,2024-01-03,2024-01-04,Mumbai,Maharashtra,8320.76,2.0,-1.0,Repeat
ORDR000044,CUST027263,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-05,Guwahati,Assam,3234.98,3.0,-1.0,Repeat
ORDR000045,CUST036477,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-08,Thrissur,Kerala,30610.29,7.0,1.0,New
ORDR000046,CUST001239,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-08,Ranchi,Jharkhand,869.04,5.0,-1.0,Repeat
ORDR000047,CUST004695,2024-01-01,Delivered,,2024-01-01,2024-01-02,2024-01-05,Hyderabad,Telangana,18943.52,1.0,-3.0,New
ORDR000048,CUST016741,2024-01-01,Cancelled,Product Unavailable,,,,Rohtak,Haryana,331.04,,,Repeat
ORDR000049,CUST001238,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-04,Delhi,Delhi,17260.26,4.0,3.0,New
ORDR000050,CUST036232,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-05,Surat,Gujarat,1744.23,4.0,2.0,Repeat
ORDR000051,CUST029883,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Noida,Uttar Pradesh,1182.69,3.0,1.0,New
ORDR000052,CUST012662,2024-01-01,Cancelled,Customer Changed Mind,,,,Chandigarh,Chandigarh,218266.83,,,VIP
ORDR000053,CUST019854,2024-01-01,Shipped,,2024-01-02,,2024-01-08,Moradabad,Uttar Pradesh,3919.31,,,VIP
ORDR000054,CUST027926,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Varanasi,Uttar Pradesh,3849.25,3.0,1.0,New
ORDR000055,CUST018670,2024-01-01,Delivered,,2024-01-03,2024-01-11,2024-01-07,Lucknow,Uttar Pradesh,207.3,8.0,4.0,Repeat
ORDR000056,CUST032875,2024-01-01,Cancelled,Delayed Processing,,,,Bengaluru,Karnataka,6907.23,,,Repeat
ORDR000057,CUST008867,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-05,Indore,Madhya Pradesh,16776.38,5.0,2.0,Repeat
ORDR000058,CUST006214,2024-01-01,Delivered,,2024-01-01,2024-01-08,2024-01-07,Ranchi,Jharkhand,2295.98,7.0,1.0,VIP
ORDR000059,CUST003390,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-04,Chennai,Tamil Nadu,19134.84,4.0,2.0,Repeat
ORDR000060,CUST016373,2024-01-01,Delivered,,2024-01-02,2024-01-08,2024-01-09,Mysuru,Karnataka,747.24,6.0,-1.0,New
ORDR000061,CUST017755,2024-01-01,Delivered,,2024-01-01,2024-01-11,2024-01-06,Jaipur,Rajasthan,2942.87,10.0,5.0,Repeat
ORDR000062,CUST014853,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-05,Delhi,Delhi,563.61,3.0,-1.0,Repeat
ORDR000063,CUST029229,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-06,Ahmedabad,Gujarat,13702.08,5.0,0.0,New
ORDR000064,CUST030431,2024-01-01,Cancelled,Address Issue,,,,Delhi,Delhi,99687.97,,,Repeat
ORDR000065,CUST017471,2024-01-01,Delivered,,2024-01-02,2024-01-17,2024-01-07,Ghaziabad,Uttar Pradesh,18263.23,15.0,10.0,Repeat
ORDR000066,CUST037966,2024-01-01,Delivered,,2024-01-01,2024-01-02,2024-01-04,Kolkata,West Bengal,17216.0,1.0,-2.0,New
ORDR000067,CUST034338,2024-01-01,Delivered,,2024-01-03,2024-01-10,2024-01-08,Jamshedpur,Jharkhand,63901.07,7.0,2.0,VIP
ORDR000068,CUST011538,2024-01-01,Delivered,,2024-01-03,2024-01-10,2024-01-07,Lucknow,Uttar Pradesh,1528.02,7.0,3.0,Repeat
ORDR000069,CUST023148,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Ghaziabad,Uttar Pradesh,1008.07,4.0,1.0,Repeat
ORDR000070,CUST033379,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-08,Solapur,Maharashtra,17848.4,7.0,1.0,Repeat
ORDR000071,CUST035413,2024-01-01,Delivered,,2024-01-02,2024-01-03,2024-01-05,Surat,Gujarat,318.72,1.0,-2.0,Repeat
ORDR000072,CUST015763,2024-01-01,Pending,,,,2024-01-04,Gurugram,Haryana,5023.47,,,New
ORDR000073,CUST019027,2024-01-01,Delivered,,2024-01-01,2024-01-05,2024-01-05,Delhi,Delhi,15913.66,4.0,0.0,Repeat
ORDR000074,CUST009142,2024-01-01,Returned,,2024-01-03,2024-01-07,2024-01-04,Delhi,Delhi,877.66,4.0,3.0,VIP
ORDR000075,CUST009145,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Bengaluru,Karnataka,4077.49,4.0,1.0,New
ORDR000076,CUST004244,2024-01-01,Delivered,,2024-01-02,2024-01-08,2024-01-05,Delhi,Delhi,7700.83,6.0,3.0,Repeat
ORDR000077,CUST002003,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-07,Bhubaneswar,Odisha,48372.01,4.0,0.0,Repeat
ORDR000078,CUST028515,2024-01-01,Delivered,,2024-01-03,2024-01-09,2024-01-08,Rourkela,Odisha,4890.75,6.0,1.0,Repeat
ORDR000079,CUST025214,2024-01-01,Delivered,,2024-01-03,2024-01-05,2024-01-04,Bengaluru,Karnataka,15591.36,2.0,1.0,VIP
ORDR000080,CUST015939,2024-01-01,Delivered,,2024-01-01,2024-01-03,2024-01-04,Bengaluru,Karnataka,2395.52,2.0,-1.0,Repeat
ORDR000081,CUST026244,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-07,Solapur,Maharashtra,868.8,4.0,0.0,New
ORDR000082,CUST002201,2024-01-01,Delivered,,2024-01-01,2024-01-11,2024-01-06,Bengaluru,Karnataka,20169.88,10.0,5.0,Repeat
ORDR000083,CUST031831,2024-01-01,Delivered,,2024-01-01,2024-01-08,2024-01-07,Guwahati,Assam,16275.97,7.0,1.0,VIP
ORDR000084,CUST009116,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-05,Mumbai,Maharashtra,22561.77,3.0,1.0,Repeat
