seller_id,seller_name,seller_city,seller_state,seller_signup_date,primary_category,seller_rating,seller_tier
SELR000001,Banerjee Bella Traders,Vadodara,Gujarat,2024-02-08,Beauty & Personal Care,2.9,Low
SELR000002,Radiance Impex,Mysuru,Karnataka,2023-12-11,Beauty & Personal Care,3.8,Medium
SELR000003,Sharma Junction,Vijayawada,Andhra Pradesh,2022-09-30,Grocery,2.9,Low
SELR000004,Tiwari Traders,Prayagraj,Uttar Pradesh,2022-11-22,Sports & Fitness,4.0,Medium
SELR000005,Yadav Traders,Ranchi,Jharkhand,2024-05-18,Electronics,4.5,High
SELR000006,Agarwal House,Chennai,Tamil Nadu,2024-04-18,Electronics,3.3,Low
SELR000007,Sood Mart,Indore,Madhya Pradesh,2024-04-02,Beauty & Personal Care,2.7,Low
SELR000008,Dutta Comfort Stores,Pune,Maharashtra,2023-01-04,Home & Kitchen,3.8,Low
SELR000009,Das Hub,Ahmedabad,Gujarat,2024-02-11,Fashion,4.7,High
SELR000010,Lone Kitchen Emporium,Rourkela,Odisha,2022-09-17,Home & Kitchen,4.3,Medium
SELR000011,Trivedi Traders,Nashik,Maharashtra,2022-12-21,Books,3.5,Medium
SELR000012,Sandhu Daily Enterprises,Hubballi,Karnataka,2024-01-29,Grocery,3.9,Low
SELR000013,Bhatt Hub,Noida,Uttar Pradesh,2024-06-12,Beauty & Personal Care,4.2,Medium
SELR000014,Sisodia Hearth Bazaar,Nagpur,Maharashtra,2024-07-26,Home & Kitchen,4.1,Low
SELR000015,Bose Weave Enterprises,Surat,Gujarat,2025-08-02,Fashion,3.2,Medium
SELR000016,Glow Global,Mumbai,Maharashtra,2025-03-09,Beauty & Personal Care,4.5,Medium
SELR000017,Sethi Junction,Chennai,Tamil Nadu,2023-09-15,Fashion,4.0,Medium
SELR000018,Reddy Emporium,Nagpur,Maharashtra,2024-12-18,Beauty & Personal Care,4.9,High
SELR000019,Chauhan Trading Co,Mumbai,Maharashtra,2022-10-27,Sports & Fitness,4.1,Low
SELR000020,Byte Overseas,Rourkela,Odisha,2025-03-13,Electronics,3.5,Medium
SELR000021,Singh Electricals,Mumbai,Maharashtra,2023-09-23,Electronics,2.9,Low
SELR000022,Threads Textiles,Hyderabad,Telangana,2024-11-22,Fashion,4.0,Medium
SELR000023,Halder Textiles,Dehradun,Uttarakhand,2025-07-20,Toys & Baby Products,4.5,Low
SELR000024,Active Bazaar,Mumbai,Maharashtra,2024-09-18,Sports & Fitness,2.8,Low
SELR000025,Trend Collection,Kota,Rajasthan,2025-05-24,Fashion,2.9,Low
SELR000026,Chauhan Toon Marketing,Varanasi,Uttar Pradesh,2022-07-21,Toys & Baby Products,3.9,Medium
SELR000027,Naidu Kitchen Industries,Mumbai,Maharashtra,2023-01-20,Home & Kitchen,4.0,Medium
SELR000028,Nair Kitchen Solutions,Nashik,Maharashtra,2024-06-22,Home & Kitchen,4.7,High
SELR000029,Sethi Wholesale,Chandigarh,Chandigarh,2024-03-17,Toys & Baby Products,3.7,Medium
SELR000030,Patel Gadget Industries,Bhubaneswar,Odisha,2022-11-24,Electronics,4.3,Medium
SELR000031,Trend Wholesale,Meerut,Uttar Pradesh,2024-10-05,Fashion,3.3,Low
SELR000032,Sisodia Traders,Varanasi,Uttar Pradesh,2022-09-14,Beauty & Personal Care,2.9,Low
SELR000033,Sethi Traders,Patna,Bihar,2025-08-12,Fashion,3.8,Medium
SELR000034,Chatterjee Hub,Ahmedabad,Gujarat,2023-01-04,Sports & Fitness,4.4,Medium
SELR000035,Thakur Fabric Retail,Ludhiana,Punjab,2023-11-29,Fashion,4.0,Medium
SELR000036,Rana Circuit Solutions,Bikaner,Rajasthan,2025-02-02,Electronics,3.8,Medium
SELR000037,Jain Trend Mart,Patna,Bihar,2024-02-16,Fashion,5.0,High
SELR000038,Kohli Living Junction,Kochi,Kerala,2024-11-03,Home & Kitchen,4.7,Medium
SELR000039,Thakur Marketing,Noida,Uttar Pradesh,2024-09-19,Fashion,4.1,Medium
SELR000040,Digital Solutions,Bhubaneswar,Odisha,2025-06-25,Electronics,4.4,Medium
SELR000041,Harvest Mart,Margao,Goa,2023-12-20,Grocery,4.4,Medium
SELR000042,Deshmukh Fabric Global,Bengaluru,Karnataka,2025-07-30,Fashion,3.8,Low
SELR000043,Kitchen Junction,Hyderabad,Telangana,2024-02-19,Home & Kitchen,3.4,Low
SELR000044,Wani House,Nagpur,Maharashtra,2025-04-23,Electronics,3.6,Medium
SELR000045,Chopra Hub,Lucknow,Uttar Pradesh,2024-10-22,Fashion,3.6,Low
SELR000046,Negi Style Bazaar,Bhopal,Madhya Pradesh,2022-12-08,Fashion,2.8,Low
SELR000047,Kamath Junction,Delhi,Delhi,2024-07-12,Beauty & Personal Care,3.9,Medium
SELR000048,Threads Impex,Gurugram,Haryana,2025-04-06,Fashion,3.7,Medium
SELR000049,Toon Stores,Patna,Bihar,2022-12-03,Toys & Baby Products,3.9,Medium
SELR000050,Srivastava Mart,Patna,Bihar,2025-02-20,Toys & Baby Products,4.3,High
SELR000051,Tiwari Gadget Retail,Kochi,Kerala,2022-11-07,Electronics,4.0,Medium
SELR000052,Chowdhury Impex,Varanasi,Uttar Pradesh,2025-03-29,Electronics,4.9,High
SELR000053,Das Retail,Coimbatore,Tamil Nadu,2024-12-25,Electronics,3.7,Low
SELR000054,Sisodia Traders,Mysuru,Karnataka,2022-12-29,Beauty & Personal Care,3.5,Medium
SELR000055,Chakraborty Circuit Wholesale,Faridabad,Haryana,2024-10-15,Electronics,3.4,Low
SELR000056,Halder Organic Distributors,Nagpur,Maharashtra,2022-11-20,Grocery,3.2,Low
SELR000057,Halder Scroll Stores,Ghaziabad,Uttar Pradesh,2024-04-17,Books,4.1,Medium
SELR000058,Sandhu Organic Wholesale,Mumbai,Maharashtra,2025-05-28,Grocery,3.7,Medium
SELR000059,Suri Collection,Pune,Maharashtra,2023-03-01,Beauty & Personal Care,4.8,High
SELR000060,Kulkarni Joy Stores,Nagpur,Maharashtra,2023-01-24,Toys & Baby Products,4.4,High
SELR000061,Volt Stores,Shimla,Himachal Pradesh,2023-11-04,Electronics,3.6,Medium
SELR000062,Srivastava Hearth Enterprises,Visakhapatnam,Andhra Pradesh,2023-09-03,Home & Kitchen,4.3,Medium
SELR000063,Pal Threads Junction,Mumbai,Maharashtra,2022-09-03,Fashion,4.3,Medium
SELR000064,Tiwari Joy Creations,Vadodara,Gujarat,2023-12-11,Toys & Baby Products,4.1,Low
SELR000065,Halder Retail,Hyderabad,Telangana,2023-05-01,Beauty & Personal Care,3.8,Medium
SELR000066,Kaul Bazaar,Amritsar,Punjab,2022-11-28,Grocery,4.4,Medium
SELR000067,Thakur Textiles,Jodhpur,Rajasthan,2023-05-20,Fashion,3.8,Medium
SELR000068,Dar Toon Global,Vadodara,Gujarat,2022-08-02,Toys & Baby Products,4.2,Medium
SELR000069,Kitchen Ventures,Vadodara,Gujarat,2025-05-18,Home & Kitchen,4.8,High
SELR000070,Rastogi Living Junction,Ahmedabad,Gujarat,2025-08-16,Home & Kitchen,3.9,Medium
SELR000071,Bose Ventures,Jaipur,Rajasthan,2023-09-02,Toys & Baby Products,3.2,Medium
SELR000072,Hearth Point,Jalandhar,Punjab,2025-04-04,Home & Kitchen,3.9,Medium
SELR000073,Home Retail,Varanasi,Uttar Pradesh,2023-12-17,Home & Kitchen,4.3,Low
SELR000074,Bella Solutions,Kanpur,Uttar Pradesh,2025-05-15,Beauty & Personal Care,3.9,Medium
SELR000075,Naidu Digital Stores,Kolkata,West Bengal,2023-01-23,Electronics,4.4,High
SELR000076,Gaikwad Style Global,Delhi,Delhi,2023-05-30,Fashion,3.6,Medium
SELR000077,Halder Fabric Enterprises,Bengaluru,Karnataka,2024-10-30,Fashion,3.8,Medium
SELR000078,Jain House,Hyderabad,Telangana,2023-03-17,Electronics,3.7,Medium
SELR000079,Trivedi Emporium,Kolkata,West Bengal,2025-02-02,Grocery,3.8,Medium
SELR000080,Bloom Bazaar,Solapur,Maharashtra,2023-11-07,Beauty & Personal Care,2.7,Low
SELR000081,Vogue Ventures,Surat,Gujarat,2023-10-13,Fashion,4.5,Medium
SELR000082,Tiwari Emporium,Chennai,Tamil Nadu,2023-12-08,Home & Kitchen,3.8,Medium
SELR000083,Pal Home Collection,Mumbai,Maharashtra,2025-01-04,Home & Kitchen,4.0,Low
SELR000084,Bansal Radiance Bazaar,Ahmedabad,Gujarat,2022-07-16,Beauty & Personal Care,3.6,Medium
SELR000085,Little Emporium,Raipur,Chhattisgarh,2024-11-11,Toys & Baby Products,4.2,High
SELR000086,Lone House,Gurugram,Haryana,2024-12-14,Toys & Baby Products,4.3,High
SELR000087,Ahluwalia Textiles,Guwahati,Assam,2025-01-31,Home & Kitchen,3.4,Low
SELR000088,Patil Hub,Madurai,Tamil Nadu,2025-08-19,Fashion,3.5,Medium
SELR000089,Rao Creations,Mumbai,Maharashtra,2024-12-17,Home & Kitchen,3.5,Medium
SELR000090,Lone Pure Retail,Ghaziabad,Uttar Pradesh,2024-03-03,Beauty & Personal Care,4.1,Medium
SELR000091,Sandhu Overseas,Patiala,Punjab,2023-12-23,Home & Kitchen,4.2,Medium
SELR000092,Peak Collection,Gurugram,Haryana,2023-09-25,Sports & Fitness,3.3,Medium
SELR000093,Raina Electricals,Delhi,Delhi,2025-02-06,Beauty & Personal Care,3.9,Medium
SELR000094,Vogue Industries,Jamshedpur,Jharkhand,2023-09-30,Fashion,4.6,Medium
SELR000095,Dutta Fabric Creations,Udaipur,Rajasthan,2024-04-22,Fashion,3.9,Medium
SELR000096,Kitchen Electricals,Kanpur,Uttar Pradesh,2022-10-27,Home & Kitchen,4.5,Medium
SELR000097,Tech Point,Indore,Madhya Pradesh,2023-07-06,Electronics,4.2,Medium
SELR000098,Weave Retail,Hyderabad,Telangana,2023-05-09,Fashion,3.9,High
SELR000099,Biswas Overseas,Raipur,Chhattisgarh,2023-11-17,Sports & Fitness,4.4,High
SELR000100,Trivedi Mart,Surat,Gujarat,2024-02-02,Home & Kitchen,2.8,Low
SELR000101,Style Traders,Delhi,Delhi,2024-10-03,Fashion,3.0,Low
SELR000102,Bella Overseas,Nashik,Maharashtra,2023-11-14,Beauty & Personal Care,3.7,Medium
SELR000103,Page Trading Co,Gorakhpur,Uttar Pradesh,2022-12-28,Books,4.5,Medium
SELR000104,Chandel Junction,Meerut,Uttar Pradesh,2024-03-22,Fashion,4.0,Low
SELR000105,Pal Traders,Pune,Maharashtra,2022-09-10,Grocery,2.7,Low
SELR000106,Banerjee Little Solutions,Delhi,Delhi,2025-03-03,Toys & Baby Products,4.2,Low
SELR000107,Reddy Radiance Bazaar,Tiruchirappalli,Tamil Nadu,2024-12-04,Beauty & Personal Care,4.0,Medium
SELR000108,Arora Active Emporium,Tiruchirappalli,Tamil Nadu,2023-03-23,Sports & Fitness,4.2,Medium
SELR000109,Trivedi Circuit Trading Co,Nagpur,Maharashtra,2023-05-06,Electronics,4.1,High
SELR000110,Tiny Point,Coimbatore,Tamil Nadu,2022-08-10,Toys & Baby Products,3.5,Low
SELR000111,Chandel Collection,Lucknow,Uttar Pradesh,2023-08-29,Home & Kitchen,3.3,Medium
SELR000112,Little Industries,Noida,Uttar Pradesh,2022-08-22,Toys & Baby Products,4.2,Medium
SELR000113,Kamath House,Mumbai,Maharashtra,2025-06-11,Beauty & Personal Care,3.1,Medium
SELR000114,Digital Enterprises,Mumbai,Maharashtra,2022-12-09,Electronics,3.9,Medium
SELR000115,Chandel Gadget Creations,Chennai,Tamil Nadu,2024-07-30,Electronics,4.3,Medium
SELR000116,Chandel Collection,Jabalpur,Madhya Pradesh,2024-04-20,Sports & Fitness,3.3,Low
SELR000117,Kulkarni Charm Stores,Bengaluru,Karnataka,2023-04-06,Beauty & Personal Care,3.3,Low
SELR000118,Digital Trading Co,Hyderabad,Telangana,2025-01-16,Electronics,4.1,Low
SELR000119,Singh Read Impex,Indore,Madhya Pradesh,2022-11-11,Books,3.8,Medium
SELR000120,Joshi Harvest Collection,Hyderabad,Telangana,2025-04-15,Grocery,4.1,Medium
SELR000121,Vaghela Solutions,Bengaluru,Karnataka,2024-10-30,Home & Kitchen,3.3,Medium
SELR000122,Negi Trading Co,Bhopal,Madhya Pradesh,2024-07-03,Home & Kitchen,4.0,Medium
SELR000123,Gadget Wholesale,Kolkata,West Bengal,2025-04-07,Electronics,4.3,High
SELR000124,Roy Creations,Faridabad,Haryana,2023-10-12,Books,3.9,Medium
SELR000125,Joshi Trading Co,Kozhikode,Kerala,2023-05-27,Fashion,4.7,High
SELR000126,Trivedi Overseas,Bengaluru,Karnataka,2023-01-02,Grocery,4.1,Medium
SELR000127,Arora Nest Solutions,Kozhikode,Kerala,2025-05-28,Home & Kitchen,3.8,Medium
SELR000128,Chauhan Traders,Warangal,Telangana,2023-10-10,Beauty & Personal Care,4.5,High
SELR000129,Srivastava Enterprises,Meerut,Uttar Pradesh,2025-02-09,Fashion,4.5,High
SELR000130,Nair Threads Collection,Chandigarh,Chandigarh,2023-07-23,Fashion,3.7,Medium
SELR000131,Ink Point,Faridabad,Haryana,2025-07-02,Books,3.8,Medium
SELR000132,Jain Living Mart,Chandigarh,Chandigarh,2025-03-27,Home & Kitchen,2.7,Low
SELR000133,Bloom Industries,Nashik,Maharashtra,2023-06-26,Beauty & Personal Care,4.5,Medium
SELR000134,Little Mart,Delhi,Delhi,2024-01-15,Toys & Baby Products,4.0,Medium
SELR000135,Little Textiles,Patiala,Punjab,2024-12-31,Toys & Baby Products,4.2,Medium
SELR000136,Daily Solutions,Patna,Bihar,2023-03-24,Grocery,4.2,High
SELR000137,Style Point,Thiruvananthapuram,Kerala,2022-08-06,Fashion,3.7,Low
SELR000138,Sethi Textiles,Kolkata,West Bengal,2023-06-04,Beauty & Personal Care,4.0,Medium
SELR000139,Farm Enterprises,Delhi,Delhi,2024-05-13,Grocery,3.7,Low
SELR000140,Home Point,Kanpur,Uttar Pradesh,2022-12-12,Home & Kitchen,4.8,High
SELR000141,Dhar Industries,Surat,Gujarat,2023-07-25,Electronics,3.9,Medium
SELR000142,Bhat Solutions,Noida,Uttar Pradesh,2025-05-22,Grocery,4.4,Medium
SELR000143,Hearth Bazaar,Ahmedabad,Gujarat,2022-10-03,Home & Kitchen,2.9,Low
SELR000144,Gill Retail,Chennai,Tamil Nadu,2022-09-05,Beauty & Personal Care,3.6,Medium
SELR000145,Pandey Joy Collection,Nagpur,Maharashtra,2023-11-05,Toys & Baby Products,4.9,Medium
SELR000146,Rathore Solutions,Kolkata,West Bengal,2022-07-24,Beauty & Personal Care,3.6,Medium
SELR000147,Shetty Electricals,Nellore,Andhra Pradesh,2022-08-10,Home & Kitchen,4.0,Medium
SELR000148,Chandel Hearth Marketing,Bengaluru,Karnataka,2023-02-03,Home & Kitchen,4.1,Medium
SELR000149,Bhatia Kitchen Mart,Ahmedabad,Gujarat,2022-11-03,Home & Kitchen,4.1,Medium
SELR000150,Pillai Tech Industries,Pune,Maharashtra,2025-01-19,Electronics,4.4,High
SELR000151,Ahluwalia Global,Indore,Madhya Pradesh,2022-11-26,Books,2.4,Low
SELR000152,Hegde Harvest Bazaar,Surat,Gujarat,2024-02-26,Grocery,3.6,Low
SELR000153,Fabric Overseas,Coimbatore,Tamil Nadu,2024-09-21,Fashion,4.5,High
SELR000154,Threads Ventures,Gorakhpur,Uttar Pradesh,2024-06-22,Fashion,4.8,Medium
SELR000155,Ahluwalia Electricals,Pune,Maharashtra,2024-07-24,Grocery,4.7,High
SELR000156,Volt Mart,Nashik,Maharashtra,2023-08-21,Electronics,4.2,Medium
SELR000157,Chopra Bloom Emporium,Delhi,Delhi,2025-04-18,Beauty & Personal Care,3.9,Medium
SELR000158,Shah Distributors,Chennai,Tamil Nadu,2022-09-26,Home & Kitchen,3.9,Medium
SELR000159,Kamath Marketing,Lucknow,Uttar Pradesh,2022-11-09,Sports & Fitness,3.9,Low
SELR000160,Srivastava Junction,Delhi,Delhi,2025-03-12,Fashion,2.1,Low
SELR000161,Brar Solutions,Faridabad,Haryana,2022-09-25,Sports & Fitness,4.7,High
SELR000162,Nest Traders,Visakhapatnam,Andhra Pradesh,2023-02-13,Home & Kitchen,4.2,Low
SELR000163,Bella Emporium,Vijayawada,Andhra Pradesh,2023-01-23,Beauty & Personal Care,4.4,Medium
SELR000164,Volt Global,Kanpur,Uttar Pradesh,2022-08-16,Electronics,4.4,High
SELR000165,Home Retail,Ghaziabad,Uttar Pradesh,2022-11-20,Home & Kitchen,3.8,Medium
SELR000166,Rawat Junction,Gurugram,Haryana,2024-04-22,Beauty & Personal Care,3.7,Medium
SELR000167,Weave Electricals,Delhi,Delhi,2024-08-01,Fashion,4.2,Low
SELR000168,Dubey Trading Co,Mumbai,Maharashtra,2022-10-12,Electronics,3.6,Low
SELR000169,Vaghela Emporium,Kochi,Kerala,2025-06-18,Fashion,4.2,Medium
SELR000170,Menon Junction,Panaji,Goa,2022-10-27,Fashion,2.9,Low
SELR000171,Bose Marketing,Delhi,Delhi,2024-08-31,Electronics,3.9,Medium
