order_item_id,order_id,product_id,seller_id,quantity,unit_price,discount_percent,item_total
OITM000001,ORDR000001,PROD003064,SELR000964,1,9715.6,17.5,8015.37
OITM000002,ORDR000002,PROD001146,SELR000013,2,740.3,18.0,1214.09
OITM000003,ORDR000003,PROD002775,SELR000813,3,2948.89,6.9,8236.25
OITM000004,ORDR000004,PROD002656,SELR000869,1,5482.9,25.8,4068.31
OITM000005,ORDR000004,PROD003068,SELR000158,1,414.91,20.5,329.85
OITM000006,ORDR000004,PROD002286,SELR001171,2,18415.35,6.6,34399.87
OITM000007,ORDR000005,PROD002084,SELR001023,1,19990.31,15.1,16971.77
OITM000008,ORDR000006,PROD002286,SELR001171,1,18415.35,14.2,15800.37
OITM000009,ORDR000007,PROD001950,SELR000855,4,4381.12,24.2,13283.56
OITM000010,ORDR000008,PROD003372,SELR000196,1,1482.39,7.0,1378.62
OITM000011,ORDR000008,PROD002871,SELR001041,1,4586.79,29.2,3247.45
OITM000012,ORDR000009,PROD003074,SELR000766,1,1654.3,5.5,1563.31
OITM000013,ORDR000010,PROD000375,SELR000324,1,170.37,8.2,156.4
OITM000014,ORDR000010,PROD002511,SELR000425,1,5720.74,16.9,4753.93
OITM000015,ORDR000010,PROD000339,SELR000970,1,2403.53,17.1,1992.53
OITM000016,ORDR000011,PROD002154,SELR000188,1,2458.49,17.7,2023.34
OITM000017,ORDR000011,PROD000018,SELR000849,2,445.46,15.9,749.26
OITM000018,ORDR000011,PROD001968,SELR000803,1,304.14,9.8,274.33
OITM000019,ORDR000012,PROD000355,SELR000086,1,620.1,12.1,545.07
OITM000020,ORDR000012,PROD000177,SELR000197,1,1883.43,13.3,1632.93
OITM000021,ORDR000012,PROD001833,SELR000421,1,4090.29,14.9,3480.84
OITM000022,ORDR000012,PROD003355,SELR000441,3,194.91,0.9,579.47
OITM000023,ORDR000012,PROD003274,SELR001101,2,2746.43,5.6,5185.26
OITM000024,ORDR000012,PROD003390,SELR000200,4,434.69,14.1,1493.59
OITM000025,ORDR000012,PROD003252,SELR001107,3,223.69,16.1,563.03
OITM000026,ORDR000012,PROD000375,SELR000324,1,170.37,4.8,162.19
OITM000027,ORDR000012,PROD000821,SELR000783,1,43.96,2.0,43.08
OITM000028,ORDR000013,PROD001338,SELR000053,1,57785.58,11.2,51313.6
OITM000029,ORDR000013,PROD000291,SELR000339,1,137.82,10.6,123.21
OITM000030,ORDR000014,PROD002882,SELR000635,2,2140.65,8.4,3921.67
OITM000031,ORDR000015,PROD001499,SELR000679,1,562.73,10.4,504.21
OITM000032,ORDR000015,PROD000943,SELR000680,2,835.72,20.0,1337.15
OITM000033,ORDR000016,PROD002459,SELR000251,1,160.64,5.1,152.45
OITM000034,ORDR000017,PROD002786,SELR000973,1,2470.06,1.6,2430.54
OITM000035,ORDR000018,PROD000176,SELR001170,1,1285.97,14.5,1099.5
OITM000036,ORDR000018,PROD003124,SELR000827,1,355.34,10.2,319.1
OITM000037,ORDR000019,PROD000669,SELR000733,1,331.04,0.1,330.71
OITM000038,ORDR000019,PROD002247,SELR000069,1,1150.26,20.4,915.61
OITM000039,ORDR000019,PROD001919,SELR000766,1,6978.16,4.3,6678.1
OITM000040,ORDR000020,PROD001271,SELR001127,1,843.82,7.5,780.53
OITM000041,ORDR000020,PROD001513,SELR000164,1,6813.44,8.5,6234.3
OITM000042,ORDR000021,PROD003152,SELR000047,1,1181.75,11.7,1043.49
OITM000043,ORDR000021,PROD000669,SELR000733,1,331.04,3.4,319.78
OITM000044,ORDR000021,PROD001088,SELR001183,2,392.8,11.6,694.47
OITM000045,ORDR000022,PROD002897,SELR000900,1,1184.73,15.0,1007.02
OITM000046,ORDR000022,PROD001957,SELR000637,1,1860.61,10.4,1667.11
OITM000047,ORDR000023,PROD000592,SELR000343,1,13009.14,8.5,11903.36
OITM000048,ORDR000024,PROD002159,SELR000821,1,1706.4,14.4,1460.68
OITM000049,ORDR000024,PROD002106,SELR000880,1,1059.65,7.5,980.18
OITM000050,ORDR000024,PROD001513,SELR000164,1,6813.44,8.6,6227.48
OITM000051,ORDR000025,PROD002830,SELR000321,3,404.42,22.5,940.28
OITM000052,ORDR000025,PROD001974,SELR001127,1,2252.83,29.8,1581.49
OITM000053,ORDR000026,PROD001625,SELR000480,1,444.98,14.8,379.12
OITM000054,ORDR000027,PROD002101,SELR000197,1,752.71,6.2,706.04
OITM000055,ORDR000028,PROD000264,SELR000123,1,2601.81,12.9,2266.18
OITM000056,ORDR000029,PROD002869,SELR000273,2,53717.0,11.8,94756.79
OITM000057,ORDR000030,PROD003270,SELR000419,1,739.78,7.6,683.56
OITM000058,ORDR000030,PROD001380,SELR000972,1,566.62,22.3,440.26
OITM000059,ORDR000030,PROD002656,SELR000869,3,5482.9,13.3,14261.02
OITM000060,ORDR000030,PROD002656,SELR000869,1,5482.9,24.2,4156.04
OITM000061,ORDR000030,PROD002771,SELR000822,1,8812.67,6.6,8231.03
OITM000062,ORDR000031,PROD001748,SELR001190,1,10999.42,8.6,10053.47
OITM000063,ORDR000032,PROD003225,SELR000458,1,474.5,4.3,454.1
OITM000064,ORDR000032,PROD002131,SELR000176,2,2077.97,5.3,3935.68
OITM000065,ORDR000032,PROD000190,SELR000969,1,796.68,18.7,647.7
OITM000066,ORDR000032,PROD000831,SELR001116,2,609.84,13.3,1057.46
OITM000067,ORDR000032,PROD001933,SELR000399,1,564.6,5.4,534.11
OITM000068,ORDR000032,PROD001423,SELR000376,1,987.92,23.3,757.73
OITM000069,ORDR000032,PROD000769,SELR001158,1,1489.39,5.2,1411.94
OITM000070,ORDR000033,PROD001175,SELR000484,1,1116.95,14.3,957.23
OITM000071,ORDR000033,PROD000942,SELR000038,1,1386.84,9.6,1253.7
OITM000072,ORDR000033,PROD000355,SELR000086,3,620.1,16.9,1545.91
OITM000073,ORDR000034,PROD002656,SELR000869,1,5482.9,23.0,4221.83
OITM000074,ORDR000034,PROD003124,SELR000827,1,355.34,3.7,342.19
OITM000075,ORDR000035,PROD000452,SELR000093,1,847.39,3.5,817.73
OITM000076,ORDR000036,PROD001457,SELR000865,2,5083.29,7.7,9383.75
OITM000077,ORDR000037,PROD001660,SELR000483,1,414.83,9.2,376.67
OITM000078,ORDR000037,PROD002358,SELR000571,3,396.91,9.7,1075.23
OITM000079,ORDR000038,PROD000669,SELR000733,1,331.04,0.0,331.04
OITM000080,ORDR000039,PROD002181,SELR000389,1,140.77,1.3,138.94
OITM000081,ORDR000039,PROD000454,SELR000125,1,1749.34,14.7,1492.19
OITM000082,ORDR000039,PROD000670,SELR000826,1,3412.69,22.6,2641.42
OITM000083,ORDR000040,PROD003059,SELR001019,3,5727.58,17.2,14227.31
OITM000084,ORDR000041,PROD001783,SELR000608,1,2790.8,9.5,2525.67
OITM000085,ORDR000042,PROD000033,SELR000330,2,2641.85,21.4,4152.99
OITM000086,ORDR000043,PROD002573,SELR000819,1,173.91,8.4,159.3
OITM000087,ORDR000043,PROD001848,SELR000362,1,5916.56,28.8,4212.59
OITM000088,ORDR000043,PROD001844,SELR000580,1,4188.17,20.7,3321.22
OITM000089,ORDR000043,PROD000669,SELR000733,2,331.04,5.2,627.65
OITM000090,ORDR000044,PROD001707,SELR000499,3,1181.08,8.7,3234.98
OITM000091,ORDR000045,PROD003065,SELR000114,2,421.31,10.7,752.46
OITM000092,ORDR000045,PROD000811,SELR000510,1,6557.71,18.9,5318.3
OITM000093,ORDR000045,PROD001474,SELR001132,1,13459.28,14.6,11494.23
OITM000094,ORDR000045,PROD000546,SELR001000,1,1505.32,9.6,1360.81
OITM000095,ORDR000045,PROD001128,SELR001180,1,8434.48,14.3,7228.35
