order_id,customer_id,order_date,order_status,cancellation_reason,shipped_date,delivery_date,expected_delivery_date,delivery_city,delivery_state,order_total
ORDR000001,CUST018345,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-07,Kollam,Kerala,8015.37
ORDR000002,CUST000265,2024-01-01,Delivered,,2024-01-03,2024-01-05,2024-01-04,Bengaluru,Karnataka,1214.09
ORDR000003,CUST038247,2024-01-01,Cancelled,Customer changed mind,,,,Varanasi,Uttar Pradesh,8236.25
ORDR000004,CUST031405,2024-01-01,Delivered,,2024-01-03,2024-01-07,2024-01-06,Mumbai,Maharashtra,38798.03
ORDR000005,CUST034854,2024-01-01,Cancelled,Address issue,,,,Bengaluru,Karnataka,16971.77
ORDR000006,CUST001452,2024-01-01,Delivered,,2024-01-03,2024-01-04,2024-01-07,Jaipur,Rajasthan,15800.37
ORDR000007,CUST025124,2024-01-01,Cancelled,Address issue,,,,Raipur,Chhattisgarh,13283.56
ORDR000008,CUST026035,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-05,Indore,Madhya Pradesh,4626.07
ORDR000009,CUST009238,2024-01-01,Cancelled,Payment issue,,,,Faridabad,Haryana,1563.31
ORDR000010,CUST013527,2024-01-01,Delivered,,2024-01-02,2024-01-05,2024-01-05,Mumbai,Maharashtra,6902.86
ORDR000011,CUST024042,2024-01-01,Delivered,,2024-01-03,2024-01-10,2024-01-07,Nashik,Maharashtra,3046.93
ORDR000012,CUST034117,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-06,Salem,Tamil Nadu,13685.46
ORDR000013,CUST024413,2024-01-01,Pending,,,,2024-01-07,Rourkela,Odisha,51436.81
ORDR000014,CUST023470,2024-01-01,Pending,,,,2024-01-06,Delhi,Delhi,3921.67
ORDR000015,CUST011992,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-06,Chennai,Tamil Nadu,1841.36
ORDR000016,CUST022280,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-06,Hyderabad,Telangana,152.45
ORDR000017,CUST014254,2024-01-01,Cancelled,Customer changed mind,,,,Lucknow,Uttar Pradesh,2430.54
ORDR000018,CUST016464,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-06,Jodhpur,Rajasthan,1418.6
ORDR000019,CUST022298,2024-01-01,Delivered,,2024-01-03,2024-01-06,2024-01-04,Bengaluru,Karnataka,7924.42
ORDR000020,CUST015321,2024-01-01,Delivered,,2024-01-01,2024-01-06,2024-01-05,Prayagraj,Uttar Pradesh,7014.83
ORDR000021,CUST007320,2024-01-01,Delivered,,2024-01-02,2024-01-09,2024-01-06,Mumbai,Maharashtra,2057.74
ORDR000022,CUST024717,2024-01-01,Delivered,,2024-01-02,2024-01-06,2024-01-06,Vijayawada,Andhra Pradesh,2674.13
ORDR000023,CUST006931,2024-01-01,Delivered,,2024-01-02,2024-01-10,2024-01-06,Mysuru,Karnataka,11903.36
ORDR000024,CUST000955,2024-01-01,Delivered,,2024-01-02,2024-01-07,2024-01-06,Jaipur,Rajasthan,8668.34
ORDR000025,CUST038484,2024-01-01,Delivered,,2024-01-03,2024-01-08,2024-01-06,Bengaluru,Karnataka,2521.77
ORDR000026,CUST018526,2024-01-01,Delivered,,2024-01-03,2024-01-05,2024-01-06,Kochi,Kerala,379.12
ORDR000027,CUST039215,2024-01-01,Delivered,,2024-01-01,2024-01-04,2024-01-05,Hyderabad,Telangana,706.04
ORDR000028,CUST005110,2024-01-01,Delivered,,2024-01-03,2024-01-04,2024-01-06,Chennai,Tamil Nadu,2266.18
