payment_id,order_id,payment_method,payment_status,payment_amount,payment_date
PYMT000001,ORDR000001,COD,Success,8015.37,2024-01-06
PYMT000002,ORDR000002,UPI,Success,1214.09,2024-01-01
PYMT000003,ORDR000003,UPI,Failed,0.0,
PYMT000004,ORDR000004,Credit Card,Success,38798.03,2024-01-01
PYMT000005,ORDR000005,UPI,Refunded,16971.77,2024-01-01
PYMT000006,ORDR000006,COD,Success,15800.37,2024-01-04
PYMT000007,ORDR000007,Wallet,Pending,13283.56,
PYMT000008,ORDR000008,Debit Card,Success,4626.07,2024-01-01
PYMT000009,ORDR000009,COD,Failed,0.0,
PYMT000010,ORDR000010,UPI,Success,6902.86,2024-01-01
PYMT000011,ORDR000011,UPI,Success,3046.93,2024-01-01
PYMT000012,ORDR000012,COD,Success,13685.46,2024-01-06
PYMT000013,ORDR000013,UPI,Pending,51436.81,
PYMT000014,ORDR000014,UPI,Pending,3921.67,
PYMT000015,ORDR000015,UPI,Success,1841.36,2024-01-01
PYMT000016,ORDR000016,UPI,Success,152.45,2024-01-01
PYMT000017,ORDR000017,COD,Failed,0.0,
PYMT000018,ORDR000018,COD,Success,1418.6,2024-01-04
PYMT000019,ORDR000019,UPI,Success,7924.42,2024-01-01
PYMT000020,ORDR000020,COD,Success,7014.83,2024-01-06
PYMT000021,ORDR000021,Wallet,Success,2057.74,2024-01-01
PYMT000022,ORDR000022,UPI,Success,2674.13,2024-01-01
PYMT000023,ORDR000023,UPI,Success,11903.36,2024-01-01
PYMT000024,ORDR000024,Debit Card,Success,8668.34,2024-01-01
PYMT000025,ORDR000025,Net Banking,Success,2521.77,2024-01-01
PYMT000026,ORDR000026,Credit Card,Success,379.12,2024-01-01
PYMT000027,ORDR000027,UPI,Success,706.04,2024-01-01
PYMT000028,ORDR000028,UPI,Success,2266.18,2024-01-01
PYMT000029,ORDR000029,COD,Success,94756.79,2024-01-07
PYMT000030,ORDR000030,UPI,Success,27771.91,2024-01-01
PYMT000031,ORDR000031,UPI,Success,10053.47,2024-01-01
PYMT000032,ORDR000032,Credit Card,Success,8798.72,2024-01-01
PYMT000033,ORDR000033,UPI,Success,3756.84,2024-01-01
PYMT000034,ORDR000034,Credit Card,Success,4564.02,2024-01-01
PYMT000035,ORDR000035,Credit Card,Success,817.73,2024-01-01
PYMT000036,ORDR000036,Wallet,Success,9383.75,2024-01-01
PYMT000037,ORDR000037,COD,Success,1451.9,2024-01-09
PYMT000038,ORDR000038,UPI,Success,331.04,2024-01-01
PYMT000039,ORDR000039,UPI,Success,4272.55,2024-01-01
PYMT000040,ORDR000040,UPI,Success,14227.31,2024-01-01
PYMT000041,ORDR000041,UPI,Success,2525.67,2024-01-01
PYMT000042,ORDR000042,Credit Card,Success,4152.99,2024-01-01
PYMT000043,ORDR000043,UPI,Success,8320.76,2024-01-01
PYMT000044,ORDR000044,UPI,Success,3234.98,2024-01-01
PYMT000045,ORDR000045,Credit Card,Success,30610.29,2024-01-01
PYMT000046,ORDR000046,Wallet,Success,869.04,2024-01-01
PYMT000047,ORDR000047,Credit Card,Success,18943.52,2024-01-01
PYMT000048,ORDR000048,UPI,Refunded,331.04,2024-01-01
PYMT000049,ORDR000049,UPI,Success,17260.26,2024-01-01
PYMT000050,ORDR000050,Debit Card,Success,1744.23,2024-01-01
PYMT000051,ORDR000051,Net Banking,Success,1182.69,2024-01-01
PYMT000052,ORDR000052,COD,Failed,0.0,
PYMT000053,ORDR000053,UPI,Success,3919.31,2024-01-01
PYMT000054,ORDR000054,COD,Success,3849.25,2024-01-06
PYMT000055,ORDR000055,COD,Success,207.3,2024-01-11
