product_id,product_name,category,sub_category,seller_id,cost_price,selling_price,launch_date
PROD000001,Advanced Self-Help 337,Books,Self-Help,SELR000473,923.95,1100.46,2024-10-18
PROD000002,Superior Kids Wear 443,Fashion,Kids Wear,SELR000744,2015.54,2774.35,2025-03-28
PROD000003,Basic Cycling 243,Sports & Fitness,Cycling,SELR001084,1182.82,1575.92,2023-03-09
PROD000004,Superior Beverages 987,Grocery,Beverages,SELR000978,45.18,51.07,2023-07-31
PROD000005,Ultra Haircare 256,Beauty & Personal Care,Haircare,SELR000669,763.01,990.1,2024-01-15
PROD000006,Elite Footwear 787,Fashion,Footwear,SELR000851,4482.47,5972.32,2023-09-05
PROD000007,Comfort Bags 641,Fashion,Bags,SELR000984,3324.99,4894.48,2023-05-13
PROD000008,Elite Accessorie 625,Electronics,Accessories,SELR000227,2130.18,2386.45,2023-09-15
PROD000009,Ultra Self-Help 282,Books,Self-Help,SELR000692,566.88,711.89,2025-09-17
PROD000010,Compact Furniture 791,Home & Kitchen,Furniture,SELR000303,4727.16,6223.64,2023-01-08
PROD000011,Classic Accessories 778,Electronics,Accessories,SELR000242,1708.74,2122.45,2023-10-30
PROD000012,Elite Educational Toys 113,Toys & Baby Products,Educational Toys,SELR000393,3183.24,4131.75,2023-12-20
PROD000013,Deluxe Fitness Equipment 494,Sports & Fitness,Fitness Equipment,SELR000735,6263.86,8511.96,2023-09-04
PROD000014,Premium Snack 723,Grocery,Snacks,SELR000142,235.74,267.16,2025-06-11
PROD000015,Advanced Furniture 791,Home & Kitchen,Furniture,SELR000737,466.36,582.41,2023-06-25
PROD000016,Advanced Toy 983,Toys & Baby Products,Toys,SELR000289,1917.67,2766.21,2023-05-15
PROD000017,Everyday Footwear 804,Fashion,Footwear,SELR001153,1084.86,1430.82,2024-02-16
PROD000018,Advanced Men's Clothing 643,Fashion,Men's Clothing,SELR000849,304.36,445.46,2023-07-17
PROD000019,Deluxe Diaper 345,Toys & Baby Products,Diapers,SELR000514,1505.34,1864.69,2024-01-02
PROD000020,Superior Baby Gear 757,Toys & Baby Products,Baby Gear,SELR000980,168.42,232.82,2022-12-15
PROD000021,Comfort Cookware 355,Home & Kitchen,Cookware,SELR000964,545.71,720.77,2023-05-08
PROD000022,Premium Tablets 142,Electronics,Tablets,SELR000359,20191.12,22665.6,2023-03-05
PROD000023,Basic Watches & Jewellery 629,Fashion,Watches & Jewellery,SELR000125,898.91,1203.65,2023-01-19
PROD000024,Everyday Comics 781,Books,Comics,SELR000753,235.6,302.57,2024-02-29
PROD000025,Premium Packaged Food 564,Grocery,Packaged Food,SELR000012,439.38,466.96,2022-12-20
PROD000026,Signature Women's Clothing 792,Fashion,Women's Clothing,SELR000555,368.76,517.31,2023-08-08
PROD000027,Pro Headphones 128,Electronics,Headphones,SELR000918,41061.12,50688.95,2023-03-07
PROD000028,Advanced Cycling 664,Sports & Fitness,Cycling,SELR000519,2506.26,3103.12,2023-01-02
PROD000029,Advanced Self-Help 948,Books,Self-Help,SELR000547,1004.88,1271.64,2024-11-11
PROD000030,Comfort Kitchen Appliances 453,Home & Kitchen,Kitchen Appliances,SELR000865,799.57,1049.83,2025-09-13
PROD000031,Signature Makeup 778,Beauty & Personal Care,Makeup,SELR000839,476.47,679.57,2024-09-15
PROD000032,Advanced Toys 535,,Toys,SELR000231,558.32,699.3,2023-02-19
PROD000033,Smart Watches & Jewellery 216,Fashion,Watches & Jewellery,SELR000330,1718.67,2641.85,2023-10-08
PROD000034,Basic Makeup 653,Beauty & Personal Care,Makeup,SELR000246,498.44,695.81,2024-01-26
PROD000035,Comfort Skincare 147,Beauty & Personal Care,Skincare,SELR000157,141.26,195.9,2024-08-27
