return_id,order_id,order_item_id,return_date,return_reason,return_status,refund_amount
RTRN000001,ORDR000034,,2024-01-13,Size issue,Rejected,4564.02
RTRN000002,ORDR000036,,2024-01-04,Product not as described,Refunded,9383.75
RTRN000003,ORDR000074,,2024-01-10,Size issue,Refunded,877.66
RTRN000004,ORDR000092,,2024-01-21,Damaged product,Refunded,11647.35
RTRN000005,ORDR000114,,2024-01-23,Damaged product,Rejected,10749.67
RTRN000006,ORDR000136,,2024-01-20,Quality issue,Rejected,2131.04
RTRN000007,ORDR000149,,2024-01-15,Quality issue,Rejected,877.59
RTRN000008,ORDR000195,,2024-01-21,Damaged product,Refunded,57.33
RTRN000009,ORDR000201,,2024-01-14,Late delivery,Rejected,25981.36
RTRN000010,ORDR000213,,2024-01-19,Damaged product,Refunded,1794.57
RTRN000011,ORDR000220,,2024-01-19,Product not as described,Refunded,38653.88
RTRN000012,ORDR000230,,2024-01-13,Damaged product,Rejected,154.7
RTRN000013,ORDR000256,,2024-01-19,Customer changed mind,Refunded,788.97
RTRN000014,ORDR000286,,2024-01-16,Product not as described,Refunded,11102.03
RTRN000015,ORDR000288,,2024-01-13,Damaged product,Refunded,5101.15
RTRN000016,ORDR000296,,2024-01-25,Damaged product,Refunded,2795.64
RTRN000017,ORDR000297,,2024-01-24,Quality issue,Refunded,2402.38
RTRN000018,ORDR000299,,2024-01-19,Damaged product,Refunded,20302.31
RTRN000019,ORDR000302,,2024-01-14,Customer changed mind,Rejected,1112.15
RTRN000020,ORDR000309,,2024-01-13,Wrong product,Rejected,73377.14
RTRN000021,ORDR000311,,2024-01-12,Late delivery,Refunded,5593.45
RTRN000022,ORDR000331,,2024-01-14,Product not as described,Refunded,906.65
RTRN000023,ORDR000377,,2024-01-30,Quality issue,Refunded,897.94
RTRN000024,ORDR000384,,2024-01-20,Wrong product,Rejected,11350.02
RTRN000025,ORDR000415,,2024-01-30,Product not as described,Refunded,15597.8
RTRN000026,ORDR000450,,2024-01-21,Quality issue,Refunded,27446.7
RTRN000027,ORDR000451,,2024-01-21,Customer changed mind,Refunded,9689.03
RTRN000028,ORDR000458,,2024-01-21,Customer changed mind,Refunded,10827.47
RTRN000029,ORDR000460,,2024-01-26,Quality issue,Refunded,37799.49
RTRN000030,ORDR000465,,2024-01-30,Product not as described,Refunded,378.2
RTRN000031,ORDR000474,,2024-01-16,Quality issue,Rejected,2526.91
RTRN000032,ORDR000487,,2024-01-25,Quality issue,Refunded,8573.39
RTRN000033,ORDR000497,,2024-01-19,Late delivery,Refunded,5215.21
RTRN000034,ORDR000511,,2024-02-04,Quality issue,Rejected,36089.49
RTRN000035,ORDR000513,,2024-01-17,Damaged product,Rejected,919.98
RTRN000036,ORDR000518,,2024-01-29,Damaged product,Refunded,20826.0
RTRN000037,ORDR000523,,2024-01-20,Customer changed mind,Refunded,4417.3
RTRN000038,ORDR000525,,2024-01-17,Quality issue,Refunded,22622.34
RTRN000039,ORDR000546,,2024-01-20,Quality issue,Rejected,907.38
RTRN000040,ORDR000548,,2024-01-24,Wrong product,Rejected,316.47
RTRN000041,ORDR000584,,2024-01-14,Wrong product,Refunded,1313.0
RTRN000042,ORDR000591,,2024-01-22,Customer changed mind,Rejected,10974.92
RTRN000043,ORDR000595,,2024-01-22,Product not as described,Rejected,2266.51
RTRN000044,ORDR000610,,2024-01-22,Damaged product,Refunded,5540.92
RTRN000045,ORDR000671,,2024-01-23,Customer changed mind,Refunded,16610.65
RTRN000046,ORDR000672,,2024-02-07,Quality issue,Refunded,137921.04
RTRN000047,ORDR000715,,2024-01-24,Customer changed mind,Refunded,33914.83
RTRN000048,ORDR000748,,2024-01-31,Quality issue,Refunded,1581.35
RTRN000049,ORDR000789,,2024-01-29,Late delivery,Refunded,1597.82
RTRN000050,ORDR000796,,2024-01-24,Damaged product,Rejected,13429.17
RTRN000051,ORDR000845,,2024-01-20,Quality issue,Rejected,773.1
RTRN000052,ORDR000846,,2024-01-27,Damaged product,Rejected,58405.49
RTRN000053,ORDR000856,,2024-01-27,Quality issue,Refunded,175.78
RTRN000054,ORDR000860,,2024-01-20,Customer changed mind,Refunded,6710.26
RTRN000055,ORDR000874,,2024-01-23,Late delivery,Rejected,73018.12
RTRN000056,ORDR000908,,2024-01-29,Wrong product,Refunded,19443.48
RTRN000057,ORDR000934,,2024-01-19,Quality issue,Rejected,1391.22
RTRN000058,ORDR000937,,2024-01-26,Size issue,Rejected,5491.62
RTRN000059,ORDR000953,,2024-01-22,Product not as described,Refunded,9296.21
RTRN000060,ORDR000965,,2024-01-22,Customer changed mind,Refunded,1374.91
RTRN000061,ORDR000971,,2024-01-22,Damaged product,Refunded,14897.78
RTRN000062,ORDR000997,,2024-01-22,Damaged product,Rejected,541.45
RTRN000063,ORDR001010,,2024-01-22,Size issue,Refunded,5168.23
RTRN000064,ORDR001029,,2024-01-23,Wrong product,Rejected,2044.6
RTRN000065,ORDR001040,,2024-01-28,Product not as described,Rejected,1258.72
RTRN000066,ORDR001041,,2024-01-31,Product not as described,Refunded,3259.76
RTRN000067,ORDR001068,,2024-01-29,Wrong product,Rejected,502.49
RTRN000068,ORDR001085,,2024-01-31,Damaged product,Refunded,8535.87
RTRN000069,ORDR001086,,2024-01-28,Size issue,Rejected,4609.86
RTRN000070,ORDR001099,,2024-01-31,Size issue,Rejected,5808.95
RTRN000071,ORDR001109,,2024-01-21,Quality issue,Rejected,870.65
RTRN000072,ORDR001112,,2024-01-25,Damaged product,Refunded,11208.83
RTRN000073,ORDR001142,,2024-01-28,Late delivery,Refunded,194367.81
RTRN000074,ORDR001169,,2024-02-01,Damaged product,Refunded,25318.94
RTRN000075,ORDR001191,,2024-02-04,Wrong product,Refunded,976.7
RTRN000076,ORDR001211,,2024-02-08,Size issue,Rejected,1362.31
RTRN000077,ORDR001212,,2024-02-03,Quality issue,Rejected,3049.76
RTRN000078,ORDR001231,,2024-02-04,Quality issue,Rejected,12370.16
RTRN000079,ORDR001251,,2024-01-27,Damaged product,Refunded,101093.03
RTRN000080,ORDR001266,,2024-02-10,Wrong product,Refunded,11831.04
RTRN000081,ORDR001287,,2024-02-07,Damaged product,Refunded,1978.07
RTRN000082,ORDR001296,,2024-02-03,Customer changed mind,Refunded,1539.62
